City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Sabang,ID,2021-11-16 04:40:13,5.8933,95.3214,79.47,78,100,0.74
211,Sibolga,ID,2021-11-16 04:40:13,1.7427,98.7792,85.53,64,58,4.81
212,Vila Franca Do Campo,PT,2021-11-16 04:40:14,37.7167,-25.4333,66.61,84,71,10.42
213,Bethel,US,2021-11-16 04:40:14,41.3712,-73.414,41.05,73,1,1.01
214,Mackenzie,CA,2021-11-16 04:40:15,55.2999,-123.1698,26.82,93,90,5.75
215,Aguimes,ES,2021-11-16 04:40:15,27.9054,-15.4461,65.03,69,75,10.36
216,Bichura,RU,2021-11-16 04:40:16,50.5881,107.6022,35.98,43,100,1.05
217,Estelle,US,2021-11-16 04:40:16,29.8458,-90.1067,62.6,83,1,3.44
218,Naze,JP,2021-11-16 04:40:17,28.3667,129.4833,72.52,58,15,9.64
219,Tessalit,ML,2021-11-16 04:40:17,20.1986,1.0114,66.92,32,2,6.11
220,Vardo,NO,2021-11-16 04:40:17,70.3705,31.1107,35.8,94,95,7.18
221,Aswan,EG,2021-11-16 04:40:18,24.0934,32.907,69.49,47,6,8.93
222,Carnarvon,AU,2021-11-16 04:40:19,-24.8667,113.6333,77.07,57,15,17.27
223,Republic,US,2021-11-16 04:41:19,37.12,-93.4802,55.36,72,1,3.44
224,Cherskiy,RU,2021-11-16 04:41:19,68.75,161.3,21.74,82,100,6.51
225,Norman Wells,CA,2021-11-16 04:41:20,65.282,-126.8329,-3.96,77,75,3.44
226,Port Lincoln,AU,2021-11-16 04:41:20,-34.7333,135.8667,60.19,53,44,11.79
227,Cayenne,GF,2021-11-16 04:40:08,4.9333,-52.3333,76.08,87,0,0.0
228,Saveh,IR,2021-11-16 04:41:21,35.0213,50.3566,55.99,49,100,2.15
229,Pangnirtung,CA,2021-11-16 04:41:21,66.1451,-65.7125,1.87,73,81,5.77
230,Kozhevnikovo,RU,2021-11-16 04:41:22,56.2589,83.9714,8.26,90,73,3.62
231,Arandis,NA,2021-11-16 04:41:22,-22.4167,14.9667,54.46,54,99,1.34
232,Broome,US,2021-11-16 04:41:22,42.2506,-75.833,36.01,77,40,3.0
233,Vrangel,RU,2021-11-16 04:41:23,42.7297,133.0839,42.24,39,0,10.04
234,Ploemeur,FR,2021-11-16 04:41:23,47.7333,-3.4333,50.83,93,90,3.44
235,Yabelo,ET,2021-11-16 04:41:23,4.8833,38.0833,62.87,68,64,9.04
236,Koslan,RU,2021-11-16 04:41:24,63.4564,48.8989,26.37,95,100,9.19
237,Puerto Escondido,MX,2021-11-16 04:41:24,15.85,-97.0667,77.83,78,1,6.91
238,Iskateley,RU,2021-11-16 04:41:24,67.6803,53.1512,7.12,93,88,5.68
239,Washim,IN,2021-11-16 04:41:25,20.1,77.15,76.44,49,76,11.54
240,Ostrovnoy,RU,2021-11-16 04:41:26,68.0531,39.5131,29.43,97,100,6.13
241,Prince Rupert,CA,2021-11-16 04:41:27,54.3161,-130.3201,38.89,92,75,4.61
242,Moose Factory,CA,2021-11-16 04:41:28,51.2585,-80.6094,26.6,93,90,11.5
243,Ithaca,US,2021-11-16 04:41:28,42.4406,-76.4966,37.35,90,90,4.0
244,Longyearbyen,SJ,2021-11-16 04:38:03,78.2186,15.6401,19.24,68,20,25.32
245,Camana,PE,2021-11-16 04:41:28,-16.6228,-72.7111,64.83,82,100,6.8
246,Martapura,ID,2021-11-16 04:41:29,-3.4167,114.85,79.11,86,100,1.43
247,Sola,VU,2021-11-16 04:41:30,-13.8833,167.55,81.41,74,94,11.14
248,Astorga,BR,2021-11-16 04:41:30,-23.2325,-51.6656,73.8,58,96,13.67
249,Sampit,ID,2021-11-16 04:41:31,-2.5333,112.95,84.04,75,98,0.69
250,Ugoofaaru,MV,2021-11-16 04:41:32,5.6667,73.0,81.28,81,100,21.23
251,Alugan,PH,2021-11-16 04:41:33,12.2188,125.4808,82.71,81,68,11.54
252,Hirara,JP,2021-11-16 04:39:14,24.8,125.2833,78.66,61,20,12.66
253,Kupang,ID,2021-11-16 04:41:33,-10.1667,123.5833,88.57,56,95,7.7
254,Majene,ID,2021-11-16 04:41:34,-3.5403,118.9707,75.61,94,100,3.69
255,Necochea,AR,2021-11-16 04:41:34,-38.5473,-58.7368,54.03,84,99,12.06
256,Port Elizabeth,ZA,2021-11-16 04:41:36,-33.918,25.5701,66.09,70,79,16.13
257,Hami,CN,2021-11-16 04:41:37,42.8,93.45,39.74,40,7,6.33
258,Port Moresby,PG,2021-11-16 04:41:38,-9.4431,147.1797,81.82,94,75,10.36
259,Geraldton,AU,2021-11-16 04:41:38,-28.7667,114.6,75.61,57,75,12.66
260,Aitape,PG,2021-11-16 04:41:39,-3.1374,142.3475,82.78,79,92,5.14
261,Nadym,RU,2021-11-16 04:41:40,65.5333,72.5167,2.32,97,92,8.75
262,Pueblo Nuevo Vinas,GT,2021-11-16 04:41:40,14.2258,-90.4742,63.43,82,52,7.18
263,Daru,PG,2021-11-16 04:41:41,-9.0763,143.2092,82.51,77,100,8.39
264,Cap Malheureux,MU,2021-11-16 04:41:41,-19.9842,57.6142,81.46,64,37,8.01
265,Coquimbo,CL,2021-11-16 04:41:42,-29.9533,-71.3436,56.93,82,0,3.44
266,Cabedelo,BR,2021-11-16 04:41:42,-6.9811,-34.8339,79.47,81,14,11.56
267,Juigalpa,NI,2021-11-16 04:41:43,12.1063,-85.3645,73.98,88,10,10.89
268,Ojhar,IN,2021-11-16 04:41:43,20.1,73.9333,79.93,49,98,13.11
269,Bud,US,2021-11-16 04:41:44,39.447,-86.1758,39.15,89,82,6.62
270,Horadiz,AZ,2021-11-16 04:41:44,39.4488,47.3353,47.17,76,100,18.75
271,Pundaguitan,PH,2021-11-16 04:41:44,6.3711,126.1689,83.26,70,100,2.55
272,Bima,ID,2021-11-16 04:42:45,-8.4667,118.7167,86.68,67,84,5.12
273,Mackay,AU,2021-11-16 04:42:46,-21.15,149.2,87.04,58,40,12.66
274,Kruisfontein,ZA,2021-11-16 04:42:46,-34.0033,24.7314,63.88,69,99,17.52
275,Tirlyanskiy,RU,2021-11-16 04:42:47,54.2109,58.5806,11.28,83,10,2.68
276,Ust-Koksa,RU,2021-11-16 04:42:47,50.2696,85.6108,18.23,78,100,2.53
277,Makakilo City,US,2021-11-16 04:42:48,21.3469,-158.0858,77.32,76,40,8.05
278,Souillac,MU,2021-11-16 04:42:48,-20.5167,57.5167,81.36,65,40,11.5
279,Kibaya,TZ,2021-11-16 04:42:49,-5.3,36.5667,64.49,69,18,5.23
280,Houma,US,2021-11-16 04:40:02,29.5958,-90.7195,60.8,90,0,1.99
281,Santa Cruz,BO,2021-11-16 04:42:50,-17.8,-63.1667,71.06,94,75,5.75
282,Jacksonville Beach,US,2021-11-16 04:42:50,30.2947,-81.3931,55.42,84,1,3.44
283,Damaturu,NG,2021-11-16 04:42:51,11.747,11.9608,72.61,18,100,7.11
284,Usinsk,RU,2021-11-16 04:42:52,65.9939,57.5281,18.48,96,100,7.58
285,Broken Hill,AU,2021-11-16 04:42:52,-31.95,141.4333,67.71,30,10,12.66
286,Barranca,PE,2021-11-16 04:42:52,-10.75,-77.7667,63.21,84,100,7.38
287,Bengkulu,ID,2021-11-16 04:42:53,-3.8004,102.2655,84.58,63,97,6.44
288,Alofi,NU,2021-11-16 04:42:53,-19.0595,-169.9187,80.49,61,25,13.8
289,Grindavik,IS,2021-11-16 04:42:54,63.8424,-22.4338,36.07,93,75,27.63
290,Presidencia Roque Saenz Pena,AR,2021-11-16 04:42:54,-26.7852,-60.4388,74.46,84,36,3.89
291,Palembang,ID,2021-11-16 04:39:30,-2.9167,104.7458,92.64,51,79,2.04
292,Saldanha,ZA,2021-11-16 04:42:55,-33.0117,17.9442,62.8,86,99,13.78
293,Key West,US,2021-11-16 04:42:55,24.5557,-81.7826,72.0,78,1,9.22
